_id,value
123456,165882
123456789,30013
0,27458
111111,27328
5201314,15015
123123,14838
12345,13479
123,11528
12345678,10544
1314520,5473
123321,5450
7758521,4833
1234567,465956ty
666666,3733
5211314,3115
888888,2960
520520,2814
1,2781
11111111,2704
woaini,2659
112233,2536
1234,2438
654321,2436
123654,2363
1234567890,2168
88888888,2157
100200,2006
520131,1965
147258,1899
7758258,1787
1111111,1754
aaaaaa,1723
123123123,1714
110110,1693
a123456,1677
521521,1611
zxcvbnm,1611
11111,1592
1314521,1573
147258369,1538
159357,1402
121212,1276
111,1238
123456a,1174
222222,1140
999999,1134
131452,1110
qqqqqq,1063
iloveyou,1054
qazwsx,1017
@163.com,1015
987654321,1007
woaini1314,1000
159753,993
1111,987
555555,965
789456,957
456123,955
asdasd,939
333333,909
201314,876
584520,857
12312,834
111222,815
wangyut2,801
12,799
qwerty,777
7936369,756
password,755
7777777,730
123000,726
789456123,720
456789,718
@qq.com,714
31415926,706
456852,689
abc123,681
123qwe,680
123789,678
321321,646
778899,604
1234560,590
775852,589
1111111111,582
qq123456,567
211314,565
asdfgh,549
5845201314,549
1qaz2wsx,545
7758520,541
147852,536
520,529
753951,528
110120,526
110,504
1230123,503
3344520,492
666888,487
741852,485
102030,484
