days,hours,count
1,0,9657
1,1,9397
1,2,9376
1,3,9262
1,4,9267
1,5,9454
1,6,9775
1,7,9940
1,8,10025
1,9,10054
1,10,10063
1,11,10058
1,12,10028
1,13,9989
1,14,9982
1,15,10081
1,16,9970
1,17,9981
1,18,9990
1,19,10000
1,20,9939
1,21,9914
1,22,9816
1,23,9826
2,0,9683
2,1,9487
2,2,9333
2,3,9214
2,4,9213
2,5,9420
2,6,9738
2,7,9902
2,8,9949
2,9,10039
2,10,10067
2,11,10058
2,12,10055
2,13,10007
2,14,9989
2,15,10060
2,16,10039
2,17,9978
2,18,9981
2,19,9958
2,20,9923
2,21,9908
2,22,9795
2,23,9712
3,0,9638
3,1,9452
3,2,9319
3,3,9209
3,4,9203
3,5,9405
3,6,9790
3,7,9904
3,8,9917
3,9,9985
3,10,10036
3,11,10106
3,12,10028
3,13,10064
3,14,9983
3,15,10031
3,16,9996
3,17,9979
3,18,9973
3,19,9991
3,20,9946
3,21,9806
3,22,9882
3,23,9706
4,0,9604
4,1,9490
4,2,9374
4,3,9221
4,4,9299
4,5,9345
4,6,9809
4,7,9984
4,8,10004
4,9,10080
4,10,9974
4,11,9898
4,12,9929
4,13,9894
4,14,9870
4,15,9961
4,16,10040
4,17,9961
4,18,11634
4,19,10024
4,20,9886
4,21,9826
4,22,9848
4,23,9694
5,0,9684
5,1,9413
5,2,9380
5,3,9183
5,4,9236
5,5,9334
5,6,9705
5,7,9902
5,8,9909
5,9,10001
5,10,9988
5,11,10062
5,12,9952
5,13,10018
5,14,9892
5,15,9971
5,16,9933
5,17,9919
5,18,9915
5,19,9936
5,20,9893
5,21,9805
5,22,9745
5,23,9673
6,0,9629
6,1,9348
6,2,9399
6,3,9210
6,4,9207
6,5,9382
6,6,9752
6,7,9836
6,8,9906
6,9,9898
6,10,9903
6,11,9968
6,12,9941
6,13,9915
6,14,9882
6,15,9914
6,16,9931
6,17,9729
6,18,9803
6,19,9937
6,20,9861
6,21,9809
6,22,9717
6,23,9629
7,0,9607
7,1,9428
7,2,9355
7,3,9305
7,4,9243
7,5,9461
7,6,9642
7,7,9914
7,8,9838
7,9,9906
7,10,9999
7,11,9878
7,12,9946
7,13,9955
7,14,9923
7,15,9895
7,16,9907
7,17,9892
7,18,9933
7,19,9895
7,20,9927
7,21,9876
7,22,9934
7,23,9875
8,0,9704
8,1,9506
8,2,9414
8,3,9284
8,4,9234
8,5,9380
8,6,9674
8,7,9861
8,8,9906
8,9,9974
8,10,10001
8,11,9971
8,12,9978
8,13,9894
8,14,10030
8,15,9948
8,16,9939
8,17,9857
8,18,9889
8,19,9919
8,20,9895
8,21,9844
8,22,9742
8,23,9689
9,0,9584
9,1,9301
9,2,9403
9,3,9245
9,4,9207
9,5,9354
9,6,9566
9,7,9873
9,8,9892
9,9,9916
9,10,9833
9,11,9723
9,12,9829
9,13,9827
9,14,9853
9,15,9955
9,16,9918
9,17,9895
9,18,9899
9,19,9864
9,20,9723
9,21,9790
9,22,9662
9,23,9605
10,0,9448
10,1,9118
10,2,9329
10,3,9150
10,4,9100
10,5,9258
10,6,9576
10,7,9846
10,8,9637
10,9,9907
10,10,9882
10,11,9834
10,12,9745
10,13,9819
10,14,9666
10,15,9778
10,16,9383
10,17,9723
10,18,9849
10,19,9859
10,20,9739
10,21,9825
10,22,9775
10,23,9689
11,0,9651
11,1,9340
11,2,9381
11,3,9331
11,4,9218
11,5,9387
11,6,9678
11,7,9861
11,8,9889
11,9,9939
11,10,9961
11,11,10012
11,12,9956
11,13,9996
11,14,10007
11,15,9955
11,16,9916
11,17,9863
11,18,9942
11,19,9936
11,20,9939
11,21,9876
11,22,9770
11,23,9703
12,0,9711
12,1,9459
12,2,9328
12,3,9305
12,4,9152
12,5,9447
12,6,9649
12,7,9875
12,8,9871
12,9,9902
12,10,9927
12,11,9965
12,12,9932
12,13,9939
12,14,10012
12,15,9987
12,16,9963
12,17,9931
12,18,9940
12,19,9940
12,20,9867
12,21,9877
12,22,9744
12,23,9743
13,0,9562
13,1,9460
13,2,9414
13,3,9404
13,4,9363
13,5,9501
13,6,9719
13,7,9882
13,8,9934
13,9,9984
13,10,10028
13,11,10004
13,12,10055
13,13,10001
13,14,10011
13,15,10003
13,16,10083
13,17,10012
13,18,10017
13,19,10031
13,20,9951
13,21,9919
13,22,9818
13,23,9751
14,0,9698
14,1,9482
14,2,9421
14,3,9305
14,4,9245
14,5,9402
14,6,9689
14,7,9879
14,8,9923
14,9,4726
31,18,7264
31,19,10015
31,20,9999
31,21,9973
31,22,9812
31,23,9795
